order_number,product_key,customer_id,order_date,shipping_date,delivery_due_date,price,sales_amount,sales_quantity
SO43932,19,16741,2/1/2011,2/8/2011,2/13/2011,3578,3578,1
SO43933,10,11031,2/1/2011,2/8/2011,2/13/2011,3400,3400,1
SO43934,9,11034,2/1/2011,2/8/2011,2/13/2011,3400,3400,1
SO43935,40,20048,2/2/2011,2/9/2011,2/14/2011,699,699,1
SO43936,16,28065,2/2/2011,2/9/2011,2/14/2011,3578,3578,1
SO43937,17,17047,2/2/2011,2/9/2011,2/14/2011,3578,3578,1
SO43938,20,16686,2/2/2011,2/9/2011,2/14/2011,3578,3578,1
SO43939,17,16659,2/2/2011,2/9/2011,2/14/2011,3578,3578,1
SO43940,41,25294,2/2/2011,2/9/2011,2/14/2011,699,699,1
SO43941,19,13600,2/3/2011,2/10/2011,2/15/2011,3578,3578,1
SO43942,20,17051,2/3/2011,2/10/2011,2/15/2011,3578,3578,1
SO43943,36,14565,2/3/2011,2/10/2011,2/15/2011,699,699,1
SO43944,7,11054,2/3/2011,2/10/2011,2/15/2011,3400,3400,1
SO43945,20,16675,2/3/2011,2/10/2011,2/15/2011,3578,3578,1
SO43946,18,16687,2/3/2011,2/10/2011,2/15/2011,3578,3578,1
SO43947,20,16712,2/3/2011,2/10/2011,2/15/2011,3578,3578,1
SO43948,8,11047,2/3/2011,2/10/2011,2/15/2011,3400,3400,1
SO43949,20,27726,2/4/2011,2/11/2011,2/16/2011,3578,3578,1
SO43950,16,28014,2/4/2011,2/11/2011,2/16/2011,3578,3578,1
SO43951,16,16696,2/4/2011,2/11/2011,2/16/2011,3578,3578,1
SO43952,17,16639,2/4/2011,2/11/2011,2/16/2011,3578,3578,1
SO43953,38,20049,2/5/2011,2/12/2011,2/17/2011,699,699,1
SO43954,16,13602,2/5/2011,2/12/2011,2/17/2011,3578,3578,1
SO43955,19,13661,2/5/2011,2/12/2011,2/17/2011,3578,3578,1
SO43956,7,11030,2/5/2011,2/12/2011,2/17/2011,3400,3400,1
SO43957,18,28068,2/6/2011,2/13/2011,2/18/2011,3578,3578,1
SO43958,17,16658,2/6/2011,2/13/2011,2/18/2011,3578,3578,1
SO43959,3,11035,2/6/2011,2/13/2011,2/18/2011,3375,3375,1
SO43960,4,11046,2/6/2011,2/13/2011,2/18/2011,3375,3375,1
SO43961,16,28031,2/7/2011,2/14/2011,2/19/2011,3578,3578,1
SO43962,17,28076,2/7/2011,2/14/2011,2/19/2011,3578,3578,1
SO43963,19,16685,2/7/2011,2/14/2011,2/19/2011,3578,3578,1
SO43964,17,16745,2/7/2011,2/14/2011,2/19/2011,3578,3578,1
SO43965,6,11038,2/7/2011,2/14/2011,2/19/2011,3375,3375,1
SO43966,10,11039,2/7/2011,2/14/2011,2/19/2011,3400,3400,1
SO43967,18,28040,2/8/2011,2/15/2011,2/20/2011,3578,3578,1
SO43968,18,28067,2/8/2011,2/15/2011,2/20/2011,3578,3578,1
SO43969,20,28071,2/8/2011,2/15/2011,2/20/2011,3578,3578,1
SO43970,16,16684,2/8/2011,2/15/2011,2/20/2011,3578,3578,1
SO43971,19,16657,2/8/2011,2/15/2011,2/20/2011,3578,3578,1
SO43972,19,21939,2/9/2011,2/16/2011,2/21/2011,3578,3578,1
SO43973,17,28039,2/9/2011,2/16/2011,2/21/2011,3578,3578,1
SO43974,17,13687,2/9/2011,2/16/2011,2/21/2011,3578,3578,1
SO43975,17,13540,2/9/2011,2/16/2011,2/21/2011,3578,3578,1
SO43976,20,28063,2/9/2011,2/16/2011,2/21/2011,3578,3578,1
SO43977,17,16703,2/9/2011,2/16/2011,2/21/2011,3578,3578,1
SO43978,20,28030,2/10/2011,2/17/2011,2/22/2011,3578,3578,1
SO43979,46,14576,2/10/2011,2/17/2011,2/22/2011,699,699,1
SO43980,6,11048,2/10/2011,2/17/2011,2/22/2011,3375,3375,1
SO43981,19,16664,2/10/2011,2/17/2011,2/22/2011,3578,3578,1
SO43982,38,25271,2/10/2011,2/17/2011,2/22/2011,699,699,1
SO43983,19,28017,2/11/2011,2/18/2011,2/23/2011,3578,3578,1
SO43984,16,13545,2/11/2011,2/18/2011,2/23/2011,3578,3578,1
SO43985,18,13515,2/11/2011,2/18/2011,2/23/2011,3578,3578,1
SO43986,20,28070,2/11/2011,2/18/2011,2/23/2011,3578,3578,1
SO43987,20,28042,2/12/2011,2/19/2011,2/24/2011,3578,3578,1
SO43988,7,11244,2/12/2011,2/19/2011,2/24/2011,3400,3400,1
SO43989,17,28083,2/12/2011,2/19/2011,2/24/2011,3578,3578,1
SO43990,7,25872,2/12/2011,2/19/2011,2/24/2011,3400,3400,1
SO43991,20,16660,2/12/2011,2/19/2011,2/24/2011,3578,3578,1
SO43992,16,16638,2/12/2011,2/19/2011,2/24/2011,3578,3578,1
SO43993,19,16929,2/14/2011,2/21/2011,2/26/2011,3578,3578,1
SO43994,19,27681,2/15/2011,2/22/2011,2/27/2011,3578,3578,1
SO43995,17,21813,2/15/2011,2/22/2011,2/27/2011,3578,3578,1
SO43996,20,27920,2/15/2011,2/22/2011,2/27/2011,3578,3578,1
SO43997,20,28022,2/15/2011,2/22/2011,2/27/2011,3578,3578,1
SO43998,3,11033,2/15/2011,2/22/2011,2/27/2011,3375,3375,1
SO43999,16,28047,2/15/2011,2/22/2011,2/27/2011,3578,3578,1
SO44000,16,27918,2/16/2011,2/23/2011,2/28/2011,3578,3578,1
SO44001,18,28044,2/16/2011,2/23/2011,2/28/2011,3578,3578,1
SO44002,41,14572,2/16/2011,2/23/2011,2/28/2011,699,699,1
SO44003,38,19325,2/16/2011,2/23/2011,2/28/2011,699,699,1
SO44004,20,28061,2/16/2011,2/23/2011,2/28/2011,3578,3578,1
SO44005,40,26629,2/16/2011,2/23/2011,2/28/2011,699,699,1
SO44006,20,16744,2/16/2011,2/23/2011,2/28/2011,3578,3578,1
SO44007,45,25555,2/16/2011,2/23/2011,2/28/2011,699,699,1
SO44008,17,27678,2/17/2011,2/24/2011,3/1/2011,3578,3578,1
SO44009,19,27759,2/17/2011,2/24/2011,3/1/2011,3578,3578,1
SO44010,20,13680,2/17/2011,2/24/2011,3/1/2011,3578,3578,1
SO44011,20,13514,2/17/2011,2/24/2011,3/1/2011,3578,3578,1
SO44012,4,11052,2/17/2011,2/24/2011,3/1/2011,3375,3375,1
SO44013,17,16928,2/17/2011,2/24/2011,3/1/2011,3578,3578,1
SO44014,18,27917,2/18/2011,2/25/2011,3/2/2011,3578,3578,1
SO44015,16,13693,2/18/2011,2/25/2011,3/2/2011,3578,3578,1
SO44016,5,11247,2/18/2011,2/25/2011,3/2/2011,3375,3375,1
SO44017,20,28078,2/18/2011,2/25/2011,3/2/2011,3578,3578,1
SO44018,5,25876,2/18/2011,2/25/2011,3/2/2011,3375,3375,1
SO44019,20,16701,2/18/2011,2/25/2011,3/2/2011,3578,3578,1
SO44020,16,16931,2/18/2011,2/25/2011,3/2/2011,3578,3578,1
SO44021,3,11032,2/18/2011,2/25/2011,3/2/2011,3375,3375,1
SO44022,18,22008,2/19/2011,2/26/2011,3/3/2011,3578,3578,1
SO44023,4,19830,2/19/2011,2/26/2011,3/3/2011,3375,3375,1
SO44024,19,16663,2/19/2011,2/26/2011,3/3/2011,3578,3578,1
SO44025,19,16708,2/19/2011,2/26/2011,3/3/2011,3578,3578,1
SO44026,20,17045,2/19/2011,2/26/2011,3/3/2011,3578,3578,1
SO44027,20,21921,2/20/2011,2/27/2011,3/4/2011,3578,3578,1
SO44028,17,17048,2/20/2011,2/27/2011,3/4/2011,3578,3578,1
SO44029,5,11050,2/20/2011,2/27/2011,3/4/2011,3375,3375,1
SO44030,16,12131,2/21/2011,2/28/2011,3/5/2011,3578,3578,1
SO44031,18,13689,2/21/2011,2/28/2011,3/5/2011,3578,3578,1
SO44032,7,11243,2/21/2011,2/28/2011,3/5/2011,3400,3400,1
SO44033,19,16693,2/21/2011,2/28/2011,3/5/2011,3578,3578,1
SO44034,18,16702,2/21/2011,2/28/2011,3/5/2011,3578,3578,1
SO44035,17,16707,2/21/2011,2/28/2011,3/5/2011,3578,3578,1
SO44036,20,17046,2/21/2011,2/28/2011,3/5/2011,3578,3578,1
SO44037,43,25272,2/21/2011,2/28/2011,3/5/2011,699,699,1
SO44038,7,25868,2/21/2011,2/28/2011,3/5/2011,3400,3400,1
SO44039,38,17971,2/22/2011,3/1/2011,3/6/2011,699,699,1
SO44040,6,11057,2/22/2011,3/1/2011,3/6/2011,3375,3375,1
SO44041,18,16742,2/22/2011,3/1/2011,3/6/2011,3578,3578,1
SO44042,18,13678,2/23/2011,3/2/2011,3/7/2011,3578,3578,1
SO44043,16,13679,2/23/2011,3/2/2011,3/7/2011,3578,3578,1
SO44044,19,13690,2/23/2011,3/2/2011,3/7/2011,3578,3578,1
SO44045,7,28394,2/23/2011,3/2/2011,3/7/2011,3400,3400,1
SO44046,18,28064,2/23/2011,3/2/2011,3/7/2011,3578,3578,1
SO44047,7,25878,2/23/2011,3/2/2011,3/7/2011,3400,3400,1
SO44048,19,16713,2/23/2011,3/2/2011,3/7/2011,3578,3578,1
SO44049,19,13538,2/24/2011,3/3/2011,3/8/2011,3578,3578,1
SO44050,20,17050,2/24/2011,3/3/2011,3/8/2011,3578,3578,1
SO44051,20,13691,2/25/2011,3/4/2011,3/9/2011,3578,3578,1
SO44052,19,16637,2/25/2011,3/4/2011,3/9/2011,3578,3578,1
SO44053,36,19329,2/26/2011,3/5/2011,3/10/2011,699,699,1
SO44054,19,13542,2/26/2011,3/5/2011,3/10/2011,3578,3578,1
SO44055,20,13543,2/26/2011,3/5/2011,3/10/2011,3578,3578,1
SO44056,19,13559,2/26/2011,3/5/2011,3/10/2011,3578,3578,1
SO44057,36,14577,2/26/2011,3/5/2011,3/10/2011,699,699,1
SO44058,5,11056,2/26/2011,3/5/2011,3/10/2011,3375,3375,1
SO44059,18,16688,2/26/2011,3/5/2011,3/10/2011,3578,3578,1
SO44060,38,25273,2/26/2011,3/5/2011,3/10/2011,699,699,1
SO44061,20,27919,2/27/2011,3/6/2011,3/11/2011,3578,3578,1
SO44062,20,28041,2/27/2011,3/6/2011,3/11/2011,3578,3578,1
SO44063,7,11240,2/27/2011,3/6/2011,3/11/2011,3400,3400,1
SO44064,20,22050,2/27/2011,3/6/2011,3/11/2011,3578,3578,1
SO44065,20,28062,2/27/2011,3/6/2011,3/11/2011,3578,3578,1
SO44066,7,25867,2/27/2011,3/6/2011,3/11/2011,3400,3400,1
SO44067,20,17049,2/27/2011,3/6/2011,3/11/2011,3578,3578,1
SO44068,18,13541,2/28/2011,3/7/2011,3/12/2011,3578,3578,1
SO44069,4,28395,2/28/2011,3/7/2011,3/12/2011,3375,3375,1
SO44070,4,19829,2/28/2011,3/7/2011,3/12/2011,3375,3375,1
SO44071,18,16691,2/28/2011,3/7/2011,3/12/2011,3578,3578,1
SO44072,16,16656,2/28/2011,3/7/2011,3/12/2011,3578,3578,1
SO44073,6,11044,2/28/2011,3/7/2011,3/12/2011,3375,3375,1
SO44134,20,13821,3/1/2011,3/8/2011,3/13/2011,3578,3578,1
SO44135,20,28156,3/1/2011,3/8/2011,3/13/2011,3578,3578,1
SO44136,16,22114,3/1/2011,3/8/2011,3/13/2011,3578,3578,1
SO44137,19,17328,3/1/2011,3/8/2011,3/13/2011,3578,3578,1
SO44138,20,13765,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44139,16,13792,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44140,16,12221,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44141,18,13572,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44142,18,22058,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44143,18,28145,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44144,17,17071,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44145,20,17309,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44146,18,17310,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44147,20,17320,3/2/2011,3/9/2011,3/14/2011,3578,3578,1
SO44148,20,28172,3/3/2011,3/10/2011,3/15/2011,3578,3578,1
SO44149,17,17242,3/3/2011,3/10/2011,3/15/2011,3578,3578,1
SO44150,17,17315,3/3/2011,3/10/2011,3/15/2011,3578,3578,1
SO44151,43,25558,3/3/2011,3/10/2011,3/15/2011,699,699,1
SO44152,9,11334,3/4/2011,3/11/2011,3/16/2011,3400,3400,1
SO44153,17,28168,3/4/2011,3/11/2011,3/16/2011,3578,3578,1
SO44154,16,28181,3/4/2011,3/11/2011,3/16/2011,3578,3578,1
SO44155,18,28131,3/4/2011,3/11/2011,3/16/2011,3578,3578,1
SO44156,9,25887,3/4/2011,3/11/2011,3/16/2011,3400,3400,1
SO44157,19,17055,3/4/2011,3/11/2011,3/16/2011,3578,3578,1
SO44158,16,13567,3/5/2011,3/12/2011,3/17/2011,3578,3578,1
SO44159,16,28182,3/5/2011,3/12/2011,3/17/2011,3578,3578,1
SO44160,17,28186,3/5/2011,3/12/2011,3/17/2011,3578,3578,1
SO44161,19,13772,3/6/2011,3/13/2011,3/18/2011,3578,3578,1
SO44162,16,28185,3/6/2011,3/13/2011,3/18/2011,3578,3578,1
SO44163,19,28193,3/6/2011,3/13/2011,3/18/2011,3578,3578,1
SO44164,20,28088,3/6/2011,3/13/2011,3/18/2011,3578,3578,1
SO44165,18,17065,3/6/2011,3/13/2011,3/18/2011,3578,3578,1
SO44166,36,14581,3/6/2011,3/13/2011,3/18/2011,699,699,1
SO44167,19,17308,3/6/2011,3/13/2011,3/18/2011,3578,3578,1
SO44168,18,12211,3/7/2011,3/14/2011,3/19/2011,3578,3578,1
SO44169,16,28179,3/7/2011,3/14/2011,3/19/2011,3578,3578,1
SO44170,19,28183,3/7/2011,3/14/2011,3/19/2011,3578,3578,1
SO44171,18,28112,3/7/2011,3/14/2011,3/19/2011,3578,3578,1
SO44172,36,14584,3/7/2011,3/14/2011,3/19/2011,699,699,1
SO44173,17,13784,3/8/2011,3/15/2011,3/20/2011,3578,3578,1
SO44174,16,17229,3/8/2011,3/15/2011,3/20/2011,3578,3578,1
SO44175,18,17246,3/8/2011,3/15/2011,3/20/2011,3578,3578,1
SO44176,19,12220,3/9/2011,3/16/2011,3/21/2011,3578,3578,1
SO44177,5,11337,3/9/2011,3/16/2011,3/21/2011,3375,3375,1
SO44178,17,28097,3/9/2011,3/16/2011,3/21/2011,3578,3578,1
SO44179,5,25888,3/9/2011,3/16/2011,3/21/2011,3375,3375,1
SO44180,10,11058,3/9/2011,3/16/2011,3/21/2011,3400,3400,1
SO44181,17,17294,3/9/2011,3/16/2011,3/21/2011,3578,3578,1
SO44182,20,17299,3/9/2011,3/16/2011,3/21/2011,3578,3578,1
SO44183,20,28158,3/10/2011,3/17/2011,3/22/2011,3578,3578,1
SO44184,19,17247,3/10/2011,3/17/2011,3/22/2011,3578,3578,1
SO44185,20,17280,3/10/2011,3/17/2011,3/22/2011,3578,3578,1
SO44186,10,25889,3/12/2011,3/19/2011,3/24/2011,3400,3400,1
SO44187,18,17069,3/12/2011,3/19/2011,3/24/2011,3578,3578,1
SO44188,40,20052,3/13/2011,3/20/2011,3/25/2011,699,699,1
SO44189,46,20054,3/13/2011,3/20/2011,3/25/2011,699,699,1
